Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S40,0.0,0.0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S46,0.0,0.0
2022,7,,LOCKOUT PADLOCK STD BLUE,0.0,0.0
2022,7,,"LUBRICANT:CORROSION RETARDANT,LIQUID,500",0.0,0.0
2022,7,,NETTING BARRIER YELLOW/ORANGE 1MX50M,0.0,0.0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 7,0.0,0.0
2022,7,,TAPE INSULATING BLUE,0.0,0.0
2022,7,,TAPE INSULATING RED,0.0,0.0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S34,0.0,0.0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S40,0.0,0.0
2022,7,,Caramel 303 (35000 EBC),0.0,0.0
2022,7,,Caramel 303 (35000 EBC),0.0,0.0
2022,7,,Caustic - Effluent Plant,0.0,0.0
2022,7,,Dextrose Bulk,0.0,0.0
2022,7,,Dextrose Bulk,0.0,0.0
2022,7,,Malt MFM (Batch Managed),0.0,0.0
2022,7,,Maltose Bulk,0.0,0.0
2022,7,,Maltose Bulk,0.0,0.0
2022,7,AB,Bottle: 660RB Green Lite,328.74545454545455,22.32818181818182
2022,7,AB,Bottle: 660RB Green Lite,410380.7,25983.939393939396
2022,7,AB,Bottle: 750RB Amber Calabash,1056.3590909090908,75.88030303030304
2022,7,AB,Bottle: 750RB Amber Calabash,1319351.8954545453,92884.54545454546
2022,7,AB,Crate: Brown Quart,1344486.0499999998,92884.54545454546
2022,7,AB,Crate: Brown Quart,8711.26818181818,603.33
2022,7,AB,Crate: Red Quart,376096.75909090904,25983.939393939396
2022,7,AB,Crate: Red Quart,2144.5681818181815,149.67181818181817
2022,7,AB,Bottle: 1000RB Amber,396.80454545454546,29.449090909090913
2022,7,AB,Bottle: 1000RB Amber,497431.0545454545,35020.909090909096
2022,7,AB,Bottle: 750RB Amber Calabash,0.0,0.0
2022,7,AB,Bottle: 750RB Amber Calabash,0.0,0.0
2022,7,AB,Crate: 1L Brown,506907.3,35020.909090909096
2022,7,AB,Crate: 1L Brown,4379.45909090909,304.0684848484849
2022,7,AB,Crate: Brown Quart,0.0,0.0
2022,7,AB,Crate: Brown Quart,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,148923.67727272728,43129.35848484849
